waybill_no,waybill_id,n_raw,n_clean,n_stops,n_anchors
Y250411113343,4091,121,121,5,10
Y250411426496,4090,113,113,5,10
Y250412126408,4131,618,586,7,14
Y250412602641,4098,1181,1141,17,35
Y250412608452,4130,1009,1001,7,16
Y250412908027,4107,722,718,10,22
Y250413153063,4143,1876,1819,23,47
Y250413187975,4183,641,639,1,2
Y250413219048,4150,522,520,10,21
Y250413316342,4185,1814,1804,7,15
Y250413663022,4151,272,268,11,22
Y250413721471,4186,609,572,11,22
Y250413736798,4174,207,207,1,2
Y250413786697,4159,320,246,4,9
Y250413807994,4187,789,789,14,29
Y250413850229,4146,386,384,1,2
Y250413900287,4138,594,573,10,22
Y250413903913,4175,1564,1550,19,40
Y250413994011,4145,469,397,11,23
Y250413995766,4182,1126,1087,20,41
Y250414138308,4217,528,524,8,16
Y250414215102,4197,1411,1403,9,20
Y250414279211,4231,517,507,4,10
Y250414290501,4199,618,608,12,25
Y250414291529,4216,682,672,13,28
Y250414508143,4218,276,276,1,2
Y250414569736,4193,377,357,4,8
Y250414812841,4225,632,630,9,20
Y250414875847,4226,659,622,7,16
Y250415018819,4269,356,344,8,16
Y250415022894,4312,1197,1191,10,21
Y250415525574,4275,872,840,12,26
Y250415610199,4253,1013,997,9,20
Y250415706727,4307,261,261,1,2
Y250415779990,4248,410,374,12,26
Y250415873505,4309,2276,2270,18,38
Y250416074135,4467,941,929,9,20
Y250416217660,4470,522,522,6,12
Y250416295428,4378,223,223,1,2
Y250416367956,4327,829,820,17,36
Y250416413529,4433,797,793,5,11
Y250416582481,4442,514,508,9,19
Y250416653087,4443,1830,1794,24,49
Y250416678146,4466,216,216,1,2
Y250416900846,4329,820,820,8,18
Y250417050598,4490,800,711,12,26
Y250417114442,4485,566,548,14,30
Y250417212315,4486,233,233,10,22
Y250417219177,4539,645,635,9,19
Y250417287983,4513,601,584,9,20
Y250417301886,4487,792,752,15,30
Y250417382508,4553,498,498,1,2
Y250417393803,4559,810,794,7,16
