round,phase,total_ms,n_points,ms_per_1000pts
1,encode,2328.62,1257300,1.8521
1,decode_all,684.95,1257300,0.5448
1,decode_window,94.83,1257300,0.0754
2,encode,2648.32,1257300,2.1064
2,decode_all,776.85,1257300,0.6179
2,decode_window,111.90,1257300,0.0890
3,encode,2339.21,1257300,1.8605
3,decode_all,689.24,1257300,0.5482
3,decode_window,94.17,1257300,0.0749
4,encode,2362.11,1257300,1.8787
4,decode_all,691.01,1257300,0.5496
4,decode_window,95.19,1257300,0.0757
5,encode,2337.90,1257300,1.8595
5,decode_all,680.05,1257300,0.5409
5,decode_window,97.50,1257300,0.0775
