waybill_no,block_window_s,zipped_bytes,n_points,n_blocks,bytes_read
Y250411113343,300,471,16,8,334
Y250411113343,600,421,16,6,325
Y250411113343,900,385,16,5,289
Y250411113343,1200,341,16,4,302
Y250411113343,1800,308,16,3,247
Y250411113343,2400,271,16,2,271
Y250411113343,3600,263,16,2,263
Y250411426496,300,832,32,12,489
Y250411426496,600,718,32,8,446
Y250411426496,900,620,32,5,468
Y250411426496,1200,574,32,4,359
Y250411426496,1800,521,32,3,411
Y250411426496,2400,479,32,2,308
Y250411426496,3600,472,32,2,472
Y250412126408,300,4372,193,38,0
Y250412126408,600,3645,193,22,0
Y250412126408,900,3372,193,17,0
Y250412126408,1200,3189,193,14,0
Y250412126408,1800,3012,193,11,0
Y250412126408,2400,2894,193,9,0
Y250412126408,3600,2736,193,7,0
Y250412602641,300,6319,275,57,1122
Y250412602641,600,5363,275,36,968
Y250412602641,900,4972,275,28,897
Y250412602641,1200,4637,275,23,836
Y250412602641,1800,4375,275,18,895
Y250412602641,2400,4098,275,14,849
Y250412602641,3600,3939,275,10,848
Y250412608452,300,4726,219,38,41
Y250412608452,600,3972,219,22,41
Y250412608452,900,3612,219,15,69
Y250412608452,1200,3393,219,12,41
Y250412608452,1800,3193,219,9,69
Y250412608452,2400,3067,219,7,86
Y250412608452,3600,2902,219,5,86
Y250412908027,300,3540,155,33,184
Y250412908027,600,2949,155,20,148
Y250412908027,900,2697,155,15,150
Y250412908027,1200,2531,155,12,148
Y250412908027,1800,2374,155,9,115
Y250412908027,2400,2244,155,7,115
Y250412908027,3600,2135,155,5,115
Y250413153063,300,15077,671,128,0
Y250413153063,600,12565,671,73,0
Y250413153063,900,11573,671,55,0
Y250413153063,1200,10900,671,45,0
Y250413153063,1800,10086,671,32,0
Y250413153063,2400,9631,671,27,0
Y250413153063,3600,9036,671,18,0
Y250413187975,300,180,6,6,0
Y250413187975,600,180,6,6,0
Y250413187975,900,180,6,6,0
Y250413187975,1200,155,6,5,0
Y250413187975,1800,155,6,5,0
Y250413187975,2400,128,6,4,0
Y250413187975,3600,128,6,4,0
Y250413219048,300,5328,274,37,903
Y250413219048,600,4687,274,24,803
