method,waybill_no,area_orig_m2,area_kept_m2,area_ratio,distortion_speed_ratio
Ours,Y250411113343,114011817.87,113988707.87,0.9998,0.0000
DP,Y250411113343,114011817.87,113988707.87,0.9998,0.0000
DPS,Y250411113343,114011817.87,113988707.87,0.9998,0.0000
TD-TR,Y250411113343,114011817.87,114011817.87,1.0000,0.0000
Trajic,Y250411113343,114011817.87,114011817.87,1.0000,0.0000
Ours,Y250411426496,134100132.73,134100064.49,1.0000,0.0000
DP,Y250411426496,134100132.73,134100064.49,1.0000,0.0000
DPS,Y250411426496,134100132.73,134100096.86,1.0000,0.0000
TD-TR,Y250411426496,134100132.73,134100064.49,1.0000,0.0000
Trajic,Y250411426496,134100132.73,134100064.49,1.0000,0.0000
Ours,Y250412126408,313940652.49,313940652.79,1.0000,0.0000
DP,Y250412126408,313940652.49,313940652.79,1.0000,0.0000
DPS,Y250412126408,313940652.49,313940652.49,1.0000,0.0000
TD-TR,Y250412126408,313940652.49,313940652.79,1.0000,0.0000
Trajic,Y250412126408,313940652.49,313940652.49,1.0000,0.0000
Ours,Y250412602641,444118336.99,444098632.54,1.0000,0.0000
DP,Y250412602641,444118336.99,444098633.50,1.0000,0.0000
DPS,Y250412602641,444118336.99,444098633.54,1.0000,0.0000
TD-TR,Y250412602641,444118336.99,444118335.19,1.0000,0.0000
Trajic,Y250412602641,444118336.99,444111907.09,1.0000,0.0000
Ours,Y250412608452,275789385.67,275789385.67,1.0000,0.0046
DP,Y250412608452,275789385.67,275789385.67,1.0000,0.0048
DPS,Y250412608452,275789385.67,275789385.67,1.0000,0.0012
TD-TR,Y250412608452,275789385.67,275789385.67,1.0000,0.0037
Trajic,Y250412608452,275789385.67,275789385.67,1.0000,0.0032
Ours,Y250412908027,324788247.38,324788247.38,1.0000,0.0000
DP,Y250412908027,324788247.38,324788247.38,1.0000,0.0000
DPS,Y250412908027,324788247.38,324788247.38,1.0000,0.0000
TD-TR,Y250412908027,324788247.38,324788247.38,1.0000,0.0000
Trajic,Y250412908027,324788247.38,324788247.38,1.0000,0.0000
Ours,Y250413153063,570175313.77,570175297.21,1.0000,0.0000
DP,Y250413153063,570175313.77,570175298.78,1.0000,0.0000
DPS,Y250413153063,570175313.77,570175313.77,1.0000,0.0000
TD-TR,Y250413153063,570175313.77,570175296.59,1.0000,0.0000
Trajic,Y250413153063,570175313.77,570175301.98,1.0000,0.0000
Ours,Y250413187975,82885565.08,82885563.12,1.0000,0.0000
DP,Y250413187975,82885565.08,82885563.12,1.0000,0.0000
DPS,Y250413187975,82885565.08,82885563.12,1.0000,0.0000
TD-TR,Y250413187975,82885565.08,82885563.12,1.0000,0.0000
Trajic,Y250413187975,82885565.08,82885563.12,1.0000,0.0000
Ours,Y250413219048,443418439.40,443407724.73,1.0000,0.0037
DP,Y250413219048,443418439.40,443407724.73,1.0000,0.0000
DPS,Y250413219048,443418439.40,443408918.55,1.0000,0.0057
TD-TR,Y250413219048,443418439.40,443408554.36,1.0000,0.0058
Trajic,Y250413219048,443418439.40,443418075.21,1.0000,0.0000
Ours,Y250413316342,442387321.36,442384286.17,1.0000,0.0000
DP,Y250413316342,442387321.36,442384286.17,1.0000,0.0000
DPS,Y250413316342,442387321.36,442384286.17,1.0000,0.0000
TD-TR,Y250413316342,442387321.36,442387321.36,1.0000,0.0000
Trajic,Y250413316342,442387321.36,442387321.36,1.0000,0.0000
Ours,Y250413663022,381695078.94,381695078.94,1.0000,0.0125
DP,Y250413663022,381695078.94,381695078.94,1.0000,0.0000
DPS,Y250413663022,381695078.94,381695078.94,1.0000,0.0046
TD-TR,Y250413663022,381695078.94,381695078.94,1.0000,0.0101
Trajic,Y250413663022,381695078.94,381695078.94,1.0000,0.0000
Ours,Y250413721471,448714324.05,448714325.18,1.0000,0.0000
DP,Y250413721471,448714324.05,448687974.87,0.9999,0.0000
DPS,Y250413721471,448714324.05,448714324.05,1.0000,0.0000
TD-TR,Y250413721471,448714324.05,448714325.18,1.0000,0.0000
Trajic,Y250413721471,448714324.05,448714316.67,1.0000,0.0000
Ours,Y250413736798,21807232.69,21807227.47,1.0000,0.0000
DP,Y250413736798,21807232.69,21807227.47,1.0000,0.0000
DPS,Y250413736798,21807232.69,21807227.47,1.0000,0.0000
TD-TR,Y250413736798,21807232.69,21807227.47,1.0000,0.0000
Trajic,Y250413736798,21807232.69,21807227.47,1.0000,0.0000
Ours,Y250413786697,114245260.99,114245260.99,1.0000,0.0000
DP,Y250413786697,114245260.99,114245260.99,1.0000,0.0000
DPS,Y250413786697,114245260.99,114245260.99,1.0000,0.0000
TD-TR,Y250413786697,114245260.99,114245260.99,1.0000,0.0000
Trajic,Y250413786697,114245260.99,114196201.93,0.9996,0.0000
Ours,Y250413807994,275471857.38,275471857.38,1.0000,0.0000
DP,Y250413807994,275471857.38,275471857.38,1.0000,0.0000
DPS,Y250413807994,275471857.38,275471857.38,1.0000,0.0000
TD-TR,Y250413807994,275471857.38,275471857.38,1.0000,0.0000
Trajic,Y250413807994,275471857.38,275471857.38,1.0000,0.0000
Ours,Y250413850229,82885567.62,82885558.53,1.0000,0.0000
DP,Y250413850229,82885567.62,82885558.53,1.0000,0.0000
DPS,Y250413850229,82885567.62,82885558.53,1.0000,0.0000
TD-TR,Y250413850229,82885567.62,82885558.53,1.0000,0.0000
Trajic,Y250413850229,82885567.62,82885558.53,1.0000,0.0000
Ours,Y250413900287,442616335.35,442616335.35,1.0000,0.0000
DP,Y250413900287,442616335.35,442616335.35,1.0000,0.0000
DPS,Y250413900287,442616335.35,442616335.35,1.0000,0.0000
TD-TR,Y250413900287,442616335.35,442616335.35,1.0000,0.0000
Trajic,Y250413900287,442616335.35,442612635.69,1.0000,0.0000
Ours,Y250413903913,442619590.85,442617967.73,1.0000,0.0000
DP,Y250413903913,442619590.85,442617967.73,1.0000,0.0000
DPS,Y250413903913,442619590.85,442617967.73,1.0000,0.0000
TD-TR,Y250413903913,442619590.85,442619590.85,1.0000,0.0000
Trajic,Y250413903913,442619590.85,442619590.85,1.0000,0.0000
Ours,Y250413994011,443438879.17,443438879.17,1.0000,0.0000
DP,Y250413994011,443438879.17,443438879.17,1.0000,0.0000
DPS,Y250413994011,443438879.17,443438879.17,1.0000,0.0000
TD-TR,Y250413994011,443438879.17,443438879.17,1.0000,0.0000
Trajic,Y250413994011,443438879.17,443438879.17,1.0000,0.0000
Ours,Y250413995766,315361102.10,315274076.09,0.9997,0.0000
DP,Y250413995766,315361102.10,315191681.50,0.9995,0.0000
DPS,Y250413995766,315361102.10,315361102.10,1.0000,0.0000
TD-TR,Y250413995766,315361102.10,315318150.13,0.9999,0.0000
Trajic,Y250413995766,315361102.10,315318150.27,0.9999,0.0000
Ours,Y250414138308,443532908.90,443532050.52,1.0000,0.0000
DP,Y250414138308,443532908.90,443532050.71,1.0000,0.0000
DPS,Y250414138308,443532908.90,443532050.71,1.0000,0.0000
TD-TR,Y250414138308,443532908.90,443532050.52,1.0000,0.0000
Trajic,Y250414138308,443532908.90,443531659.47,1.0000,0.0000
Ours,Y250414215102,442308636.11,442234517.93,0.9998,0.0000
DP,Y250414215102,442308636.11,442234517.93,0.9998,0.0000
DPS,Y250414215102,442308636.11,442308636.11,1.0000,0.0000
TD-TR,Y250414215102,442308636.11,442308636.11,1.0000,0.0000
Trajic,Y250414215102,442308636.11,442153268.82,0.9996,0.0000
Ours,Y250414279211,442498524.44,442496255.97,1.0000,0.0000
DP,Y250414279211,442498524.44,442496255.97,1.0000,0.0000
DPS,Y250414279211,442498524.44,442496255.97,1.0000,0.0000
TD-TR,Y250414279211,442498524.44,442498467.47,1.0000,0.0000
Trajic,Y250414279211,442498524.44,442478561.97,1.0000,0.0000
Ours,Y250414290501,442833448.02,442825628.90,1.0000,0.0034
DP,Y250414290501,442833448.02,442825631.52,1.0000,0.0000
DPS,Y250414290501,442833448.02,442833448.02,1.0000,0.0022
TD-TR,Y250414290501,442833448.02,442825628.54,1.0000,0.0027
Trajic,Y250414290501,442833448.02,442833426.88,1.0000,0.0000
Ours,Y250414291529,440345661.12,440345468.44,1.0000,0.0000
DP,Y250414291529,440345661.12,440345468.44,1.0000,0.0000
DPS,Y250414291529,440345661.12,440345468.44,1.0000,0.0000
TD-TR,Y250414291529,440345661.12,440345613.10,1.0000,0.0000
Trajic,Y250414291529,440345661.12,440345661.12,1.0000,0.0000
Ours,Y250414508143,82885573.29,82885558.33,1.0000,0.0000
DP,Y250414508143,82885573.29,82885558.33,1.0000,0.0000
DPS,Y250414508143,82885573.29,82885558.33,1.0000,0.0000
TD-TR,Y250414508143,82885573.29,82885558.33,1.0000,0.0000
Trajic,Y250414508143,82885573.29,82885558.33,1.0000,0.0000
Ours,Y250414569736,442605086.22,442605086.22,1.0000,0.0000
DP,Y250414569736,442605086.22,442605086.22,1.0000,0.0000
DPS,Y250414569736,442605086.22,442605086.22,1.0000,0.0034
TD-TR,Y250414569736,442605086.22,442605086.22,1.0000,0.0050
Trajic,Y250414569736,442605086.22,442580093.72,0.9999,0.0000
Ours,Y250414812841,275939753.08,275939753.08,1.0000,0.0000
DP,Y250414812841,275939753.08,275939753.08,1.0000,0.0000
DPS,Y250414812841,275939753.08,275939753.08,1.0000,0.0000
TD-TR,Y250414812841,275939753.08,275939753.08,1.0000,0.0000
Trajic,Y250414812841,275939753.08,275939753.08,1.0000,0.0000
Ours,Y250414875847,275284721.19,275284721.19,1.0000,0.0000
DP,Y250414875847,275284721.19,275284721.19,1.0000,0.0000
DPS,Y250414875847,275284721.19,275284721.19,1.0000,0.0000
