waybill_no,static_stops,dbscan_stops,static_long_30min,dbscan_long_30min,overlap_both,static_only,dbscan_only,static_fence_overlap,dbscan_fence_overlap
Y250411113343,5,3,0,1,3,2,0,0,0
Y250411426496,5,4,0,1,2,3,2,0,0
Y250412126408,7,7,1,3,6,1,1,0,0
Y250412602641,17,10,3,4,10,7,0,0,0
Y250412608452,7,6,1,1,3,4,3,0,0
Y250412908027,10,5,2,2,3,7,2,0,0
Y250413153063,23,22,5,6,19,4,3,0,0
Y250413187975,1,5,1,4,1,0,4,0,0
Y250413219048,10,7,1,0,7,3,0,0,0
Y250413316342,7,7,2,2,7,0,0,1,1
Y250413663022,11,4,0,1,4,7,0,0,0
Y250413721471,11,11,1,0,10,1,1,0,0
Y250413736798,1,6,1,5,1,0,5,1,6
Y250413786697,4,6,1,2,3,1,3,0,0
Y250413807994,14,7,1,3,7,7,0,0,0
Y250413850229,1,5,1,3,1,0,4,0,0
Y250413900287,10,3,1,1,3,7,0,0,0
Y250413903913,19,13,2,4,8,11,5,0,1
Y250413994011,11,9,1,1,8,3,1,0,0
Y250413995766,20,13,3,4,12,8,1,1,1
Y250414138308,8,7,1,1,7,1,0,1,1
Y250414215102,9,7,1,2,3,6,4,0,0
Y250414279211,4,5,0,1,3,1,2,0,0
Y250414290501,12,6,1,2,6,6,0,0,0
Y250414291529,13,10,1,1,7,6,3,0,0
Y250414508143,1,4,1,2,1,0,3,0,0
Y250414569736,4,4,2,2,4,0,0,0,0
Y250414812841,9,5,1,1,5,4,0,0,0
Y250414875847,7,3,1,1,3,4,0,0,0
Y250415018819,8,6,0,0,6,2,0,0,0
Y250415022894,10,16,1,1,8,2,8,0,0
Y250415525574,12,8,3,2,7,5,1,0,0
Y250415610199,9,6,0,2,4,5,2,0,1
Y250415706727,1,3,1,3,1,0,2,0,0
Y250415779990,12,10,1,0,8,4,2,0,0
Y250415873505,18,15,3,3,12,6,3,1,1
Y250416074135,9,6,5,3,5,4,1,1,1
Y250416217660,6,6,2,0,4,2,2,0,0
Y250416295428,1,7,1,2,1,0,6,0,0
Y250416367956,17,8,2,2,8,9,0,2,1
Y250416413529,5,7,2,1,2,3,5,1,1
Y250416582481,9,10,2,3,8,1,2,0,1
Y250416653087,24,23,3,5,20,4,3,2,2
Y250416678146,1,2,1,2,1,0,1,0,0
Y250416900846,8,7,5,5,7,1,0,1,1
Y250417050598,12,8,1,2,8,4,0,0,0
Y250417114442,14,7,0,2,6,8,1,0,1
Y250417212315,10,8,0,1,7,3,1,0,0
Y250417219177,9,7,1,1,4,5,3,0,0
Y250417287983,9,4,2,1,3,6,1,0,0
Y250417301886,15,12,1,2,10,5,2,0,0
Y250417382508,1,2,1,2,1,0,1,0,0
Y250417393803,7,7,3,3,7,0,0,0,0
Y250417445423,3,0,2,0,0,3,0,0,0
Y250417459242,16,9,5,2,9,7,0,0,0
Y250417613494,14,9,0,1,9,5,0,0,0
Y250417622072,12,6,0,2,6,6,0,0,0
Y250417885815,31,17,5,6,16,15,1,0,0
Y250417891472,9,15,3,0,9,0,6,0,1
Y250417938175,9,6,0,1,5,4,1,0,0
Y250418048488,5,5,1,1,5,0,0,1,1
Y250418237189,7,4,1,1,3,4,1,0,0
Y250418276643,1,5,1,4,1,0,4,0,0
Y250418295422,15,11,3,3,9,6,2,0,0
Y250418406904,10,5,1,2,5,5,0,0,0
Y250418420553,11,12,5,4,11,0,1,0,0
Y250418532998,17,9,2,2,9,8,0,1,1
Y250418654687,14,16,1,0,14,0,2,0,0
Y250418997019,8,4,0,1,3,5,1,0,1
Y250419166045,19,18,3,5,12,7,6,0,0
Y250419236958,10,4,1,2,4,6,0,0,0
Y250419272654,6,3,0,1,2,4,1,0,0
Y250419409627,1,6,1,5,1,0,5,0,0
Y250419728840,12,10,3,4,10,2,0,1,1
Y250419818417,13,8,3,4,7,6,1,1,0
Y250419864467,8,8,1,0,8,0,0,0,0
Y250419908473,10,7,1,2,4,6,3,0,0
Y250420011252,16,11,3,0,10,6,1,0,0
Y250420080462,12,6,0,1,6,6,0,0,0
Y250420177069,14,11,3,4,9,5,2,1,2
Y250420279710,11,10,0,1,10,1,0,0,0
Y250420448863,18,6,1,2,6,12,0,0,0
Y250420467336,6,7,1,1,6,0,1,0,0
Y250420588992,20,18,4,5,16,4,2,0,1
Y250420808279,14,8,0,2,6,8,2,0,1
Y250420883301,1,3,1,1,1,0,2,0,0
Y250421131288,1,4,1,2,1,0,3,0,0
Y250421396847,12,7,0,2,6,6,1,1,1
Y250421588795,2,2,1,1,2,0,0,0,0
Y250421695666,7,8,2,2,7,0,1,0,0
Y250421709507,7,5,0,1,4,3,1,0,0
Y250421769605,6,7,2,0,5,1,2,0,0
Y250421962522,10,9,0,1,8,2,1,1,1
Y250422017761,12,11,3,1,9,3,2,0,0
Y250422021353,2,2,2,1,1,1,1,0,0
Y250422101324,7,8,2,2,6,1,2,0,1
Y250422174039,2,2,0,0,2,0,0,0,0
Y250422274760,10,5,0,1,5,5,0,0,0
Y250422360733,2,3,0,0,2,0,1,0,1
Y250422373136,16,10,2,2,9,7,1,0,0
Y250422434436,1,1,0,0,1,0,0,0,0
Y250422504463,2,2,1,1,2,0,0,0,0
Y250422521738,13,12,0,1,11,2,1,0,0
Y250422563975,11,7,1,2,7,4,0,1,1
Y250422572052,8,5,1,2,4,4,1,0,0
Y250422665979,9,7,1,1,6,3,1,0,0
Y250422733076,12,7,1,2,7,5,0,0,0
Y250422908972,1,2,0,0,1,0,1,0,0
Y250423068106,16,6,4,2,5,11,1,2,1
Y250423074598,3,11,3,7,3,0,8,1,6
Y250423190610,7,7,3,2,7,0,0,0,0
Y250423202893,8,8,1,2,7,1,1,0,0
Y250423330867,15,15,6,6,14,1,1,0,0
Y250423350659,11,7,4,2,7,4,0,3,2
Y250423439858,13,8,2,2,8,5,0,0,0
Y250423476367,15,11,1,1,10,5,1,0,0
Y250423503086,16,10,2,2,6,10,4,2,2
Y250423532360,12,10,2,2,10,2,0,1,1
Y250423580439,13,9,1,2,9,4,0,0,0
Y250423629924,12,9,2,3,8,4,1,0,1
Y250423658047,12,6,3,2,6,6,0,0,0
Y250423813530,5,7,4,4,5,0,2,0,1
Y250423862181,17,6,2,4,6,11,0,0,0
Y250423999357,12,7,2,2,6,6,1,1,1
Y250424067798,11,9,0,1,7,4,2,0,0
Y250424080850,11,9,1,2,8,3,1,0,1
Y250424149115,14,7,3,3,7,7,0,0,0
Y250424181994,10,6,1,3,5,5,1,0,0
Y250424263653,3,5,0,0,3,0,2,0,0
Y250424363165,10,5,2,1,4,6,1,0,0
Y250424576689,3,3,0,0,3,0,0,0,0
Y250424609241,1,2,1,2,1,0,1,0,0
Y250424733086,1,8,1,3,1,0,7,0,0
Y250424752815,13,8,2,3,7,6,1,0,0
Y250424882111,10,8,0,1,5,5,3,0,0
Y250424883586,2,3,0,0,2,0,1,1,2
Y250424902670,6,5,2,2,5,1,0,0,0
Y250424970088,6,4,1,2,3,3,1,0,0
Y250425034005,8,5,0,1,5,3,0,2,2
Y250425183638,10,5,1,1,5,5,0,1,1
Y250425199478,10,5,2,0,5,5,0,0,0
Y250425233660,9,9,0,0,7,2,2,0,1
Y250425358609,5,6,0,0,4,1,2,0,0
Y250425382242,9,7,2,2,6,3,1,0,0
Y250425424316,10,6,0,2,6,4,0,2,1
Y250425450147,2,3,1,0,2,0,1,0,0
Y250425595393,7,6,1,1,4,3,2,0,0
Y250425611563,6,8,2,1,4,2,4,0,1
Y250425693976,10,8,2,1,8,2,0,1,1
Y250425728184,6,7,2,2,6,0,1,1,1
Y250425814260,6,5,0,0,5,1,0,0,0
Y250425956565,13,8,4,4,8,5,0,1,1
Y250426058199,11,10,0,2,6,5,4,0,1
Y250426156822,10,5,0,2,4,6,1,0,0
Y250426270948,13,10,3,4,10,3,0,0,0
Y250426281202,6,5,2,2,5,1,0,0,0
Y250426378786,7,7,0,0,6,1,1,0,0
Y250426451532,5,5,2,2,5,0,0,0,0
Y250426473025,9,8,1,1,8,1,0,0,0
Y250426704131,7,4,1,0,4,3,0,0,0
Y250426842210,16,7,0,2,6,10,1,0,1
Y250426932361,9,7,1,1,5,4,2,0,0
Y250426996025,1,1,1,1,1,0,0,0,0
Y250427000901,9,8,1,1,8,1,0,1,1
Y250427107770,7,6,0,0,5,2,1,0,1
Y250427195543,4,4,1,2,3,1,1,0,0
Y250427324825,7,5,1,1,5,2,0,0,0
Y250427434722,9,7,0,0,6,3,1,2,2
Y250427487544,8,6,1,1,5,3,1,0,0
Y250427519179,6,5,0,1,4,2,1,0,0
Y250427529911,11,8,1,1,6,5,2,1,2
Y250427796294,13,8,1,1,7,6,1,0,1
Y250427972173,8,9,1,1,8,0,1,0,0
Y250428038638,7,5,2,3,5,2,0,0,0
Y250428151037,9,7,0,1,7,2,0,0,0
Y250428151621,10,8,2,3,8,2,0,0,0
Y250428195259,12,6,1,2,6,6,0,0,0
Y250428295217,14,12,4,5,12,2,0,1,1
Y250428301201,11,8,1,1,6,5,2,0,0
Y250428367515,8,4,0,1,4,4,0,2,2
Y250428525625,5,4,2,0,4,1,0,0,0
Y250428623881,14,11,0,2,10,4,1,1,1
Y250428866959,9,6,2,3,6,3,0,0,0
Y250428939007,8,7,0,1,4,4,3,0,1
Y250429193501,21,20,5,5,11,10,9,0,0
Y250429221664,15,13,4,6,12,3,1,1,1
Y250429274352,4,4,0,0,2,2,2,0,1
Y250429465321,1,2,1,1,1,0,1,1,2
Y250429644934,18,15,5,5,14,4,1,1,1
Y250429709690,19,23,3,3,15,4,8,0,0
Y250430059933,14,11,2,3,11,3,0,1,1
Y250430577930,15,7,3,4,6,9,1,1,1
Y250430667073,12,7,1,2,7,5,0,0,0
Y250430696954,8,5,1,1,4,4,1,0,0
Y250430817013,7,6,2,2,6,1,0,0,0
Y250501022516,14,8,1,2,8,6,0,2,2
Y250501032565,12,9,0,2,9,3,0,1,1
Y250501045548,12,9,0,1,6,6,3,1,2
Y250501269987,9,8,1,2,6,3,2,0,1
Y250501349379,12,12,1,1,11,1,1,1,1
Y250501447301,6,5,0,1,4,2,1,0,1
Y250501598107,1,4,1,2,1,0,3,1,4
Y250501896402,3,2,0,0,2,1,0,0,0
Y250502029248,12,13,3,0,9,3,4,0,0
Y250502122366,10,8,2,2,6,4,2,0,0
Y250502190875,16,9,3,4,8,8,1,0,0
Y250502472008,12,7,0,2,5,7,2,0,1
Y250502475709,21,21,4,1,16,5,5,1,1
Y250502529296,11,12,3,4,9,2,3,0,0
Y250502633421,3,3,0,0,3,0,0,1,1
Y250502697660,7,6,0,1,4,3,2,1,1
Y250502872476,8,11,3,3,8,0,3,1,1
Y250503103303,7,7,1,1,5,2,2,0,0
Y250503122119,10,9,5,4,7,3,2,0,1
Y250503399862,8,8,0,0,5,3,3,0,0
Y250503434006,9,8,2,1,8,1,0,1,1
Y250503475826,11,6,0,1,5,6,1,0,1
Y250503486983,10,4,0,1,4,6,0,0,0
Y250504044909,9,9,3,3,9,0,0,1,1
Y250504224766,11,7,1,2,5,6,2,0,1
Y250504618603,4,4,0,0,4,0,0,0,0
Y250504673968,1,4,1,0,1,0,3,0,0
Y250504686085,9,5,2,3,4,5,1,0,0
Y250504745099,4,4,0,0,3,1,1,0,0
Y250504837218,9,7,1,1,5,4,2,1,2
Y250504879216,11,12,2,4,10,1,2,1,1
Y250505049975,9,7,1,1,7,2,0,0,0
Y250505061341,10,9,2,2,9,1,0,0,0
Y250505270014,11,10,0,0,7,4,3,0,0
Y250505285872,1,6,1,4,1,0,5,0,0
Y250505368167,14,6,2,2,6,8,0,0,0
Y250505423075,8,7,0,0,5,3,2,0,1
Y250505480248,11,9,0,0,8,3,1,0,0
Y250505715045,6,5,0,0,5,1,0,0,0
Y250505765174,7,4,0,1,3,4,1,0,0
Y250505773317,18,11,1,3,10,8,1,0,0
Y250505904773,4,3,0,1,2,2,1,0,0
Y250506044813,4,2,1,1,2,2,0,0,0
Y250506204744,11,5,3,3,4,7,1,0,0
Y250506362461,11,9,1,2,6,5,3,1,3
Y250506376002,12,9,2,3,9,3,0,1,1
Y250506668520,16,13,4,3,12,4,1,0,0
Y250506691264,13,14,1,0,11,2,3,0,0
Y250506713083,15,11,1,2,9,6,2,1,2
Y250506767612,15,15,3,2,12,3,3,1,2
Y250506781809,1,2,1,2,1,0,1,0,0
Y250506844009,5,4,1,0,3,2,1,0,0
Y250506889973,5,4,0,0,4,1,0,0,0
Y250506895585,13,8,4,3,7,6,1,0,0
Y250506919290,16,11,0,1,10,6,1,2,3
Y250506972310,1,3,1,2,1,0,2,0,0
Y250507186924,4,3,0,1,2,2,1,0,0
Y250507248528,5,2,1,1,2,3,0,0,0
Y250507443007,5,5,2,0,5,0,0,0,0
Y250507503775,8,8,1,1,6,2,2,0,0
Y250507695207,30,20,3,4,20,10,0,2,2
Y250507727042,10,6,3,4,4,6,2,0,0
Y250507801343,8,7,1,1,4,4,3,1,1
